"MEturquoise"	"MEgreen"	"MEmagenta"	"MEbrown"	"MEyellow"	"MEblack"	"MEgreenyellow"	"MEred"	"MEblue"	"MEpink"	"MEpurple"
"MEyellow"	-0.0258429288738691	0.0181426470706071	-0.0225397251094463	0.149481388252803	-0.00140755246140239	-0.0818803581920206	-0.0580478313002046	-0.0600705090773853	-0.0285190839179749	-0.0578733688435409	-0.0447011897406413
"MEpaleturquoise"	-0.0130603531727139	-0.0149386787097078	-0.0126989602003579	-0.0124984558093414	-0.0118600753445268	0.00531607585351408	0.0180495894651073	-0.0135209695483849	-0.0103102273814892	-0.0119440259930704	-0.0125841261327666
"MElightyellow"	0.0104502362763417	-0.0519836668317546	0.0258026192845919	0.00887444419436985	-0.034790284608929	-0.0532368571390033	0.0377874993155713	-0.0392561181380016	-0.0369354239948705	0.227063471423273	0.0780520783534225
"MEsalmon"	0.0414004442854014	-0.00946584558949201	-0.0070744220368694	-0.0379205678254729	-0.035003166256374	-0.0321602049504092	-0.0154176394602752	-0.0250607697438536	-0.021838676518678	0.125811375482311	0.285106523609827
"MEred"	0.272769300934375	-0.00781541572574404	-0.0160792038079047	-0.00665260395620486	-0.0157859955293044	-0.0214255835853506	-0.009978426302548	-0.00934759971723811	-0.0128342332781699	-0.00211157997506731	-0.00223835572181981
"MEblack"	-0.0431400918139134	-0.072003158326601	-0.0320440635990428	-0.0426846080176415	-0.0310527706552262	0.00675595735358907	-0.0461105164173427	0.0266067558537172	0.117454994718284	-0.0411950132820395	0.123009857247177
"MEsaddlebrown"	-0.0115299903968867	-0.0651015916581381	0.00887240119174213	-0.0306622450450001	-0.00712148005461547	-0.0340652581045836	0.00141260405398857	0.0752179011445863	-0.0304011074477341	-0.0280448799568201	0.18680467693346
"MEdarkgreen"	0.108164153475666	-0.0144873756822556	-0.00847411804471777	-0.0116778736165217	-0.0141037443327268	-0.0160125686975781	0.0172915816461277	-0.00411727862514533	-0.00256222598040803	0.00657928761467005	-0.0083420486495531
"MEdarkorange"	-0.0108612984245524	-0.0141755711351226	-0.00731090030582002	-0.0124670150131068	-0.013865060046753	-0.0111684912302469	0.948893570272228	-0.00979585440825644	0.00233731059348735	0.00775733988425855	-0.00549964635700328
"MElightgreen"	-0.00583644510395023	0.00947591169939224	-0.00721194470063711	-0.0117037270002081	-0.00149724704930733	0.00314769353888678	0.599075919696792	-0.00555406056845	-0.00320177956491957	0.0217230601615791	-0.00044370474696688
"MEblue"	-0.00937308593250094	-0.018914159705199	-0.0118086892163179	-0.0117943941330617	-0.0105514471774448	0.0427351463761078	0.0671595490723371	-0.00608040744163462	-0.00332336945017082	0.0204377669961102	-0.00531086286864212
"MEturquoise"	-0.0238488369519605	-0.0594714875182816	-0.0113317135688726	-0.0232753485317652	-0.033021380111941	-0.0429776279834136	0.0202598861612948	-0.0123772450844063	0.0302555459530189	0.0390155514066012	-0.00440360393599853
"MEdarkolivegreen"	-0.0253055991726642	-0.0895889087866927	-0.0302422827082664	-0.022367374638983	-0.0512311017524184	-0.0602206681217727	0.0646546860225085	0.00280767091495916	0.0809079943950524	0.062681948928527	0.0104432409950575
"MEbrown"	-0.0175913561478373	-0.0405227770823804	-0.0229847622147098	-0.0186926435685228	-0.0241291457810202	-0.0124187880050885	0.156396607479595	-0.0203064288800045	-0.00536601907964799	0.143334371486755	0.0010937427405722
"MEgreen"	-0.0123570143174493	-0.0189366963554057	-0.0175889119740884	-0.0165491066558691	-0.0173956645026153	-0.000699742272626145	0.0488970704720574	-0.00776117438621417	-0.00188537588414364	0.0846557541537868	-0.00397648162567833
"MEsteelblue"	-0.00486892279035556	-0.00678493921579024	-0.00800708051443492	-0.00861105713548839	-6.79481447165301e-06	0.739080690029363	0.0528865323892405	-0.00582980703798209	-0.00562611159350773	0.00544192400607314	-0.0035916147575286
"MEtan"	-0.00808196067830356	-0.00806815487607111	-0.0186007169343077	-0.0148806745785063	-0.0114382844006383	0.0807801006958482	0.0809781820790403	-0.0123928776864299	-0.00210567236967021	0.0369161520750861	-0.0136261631625428
"MEdarkred"	-0.0144314719050232	-0.012368897533758	-0.0198953670770883	-0.0086676960366004	0.00905454122405825	0.0708831233723691	0.168076031816203	-0.0163911891307515	0.00896381386009488	0.0930837768194571	-0.00890004280616101
"MEorange"	-0.0118142538160608	0.0231237430767916	-0.0139785424765974	-0.00774833168943715	0.000604684536013258	0.23153074436239	0.120219134698883	-0.0112410193376918	-0.00811920768021735	0.0566427992764569	-0.0119040081313629
"MEsienna3"	-0.00657292738120186	0.00376184081029103	-0.012265654766699	-0.00626893896487531	-0.00564152515857766	0.0984594433360959	0.0674695594193518	0.00253017047779156	-0.00385997969326402	0.00629152080425381	-0.00334842706864784
"MEdarkgrey"	-0.00637970938045267	-0.00237320661993387	0.000171353502875432	-0.00254802161467367	-0.00198225433280328	0.0258719165008376	-0.0050634878234329	0.00348068523199454	-0.00735861289848646	-0.00104502682325914	-0.00428757328851917
"MEyellowgreen"	-0.0187618244286744	0.00964524920145246	-0.00757594980299755	-0.0118018878714176	-0.0142302965559176	-0.0268652860079826	0.0463346246302126	0.124128041186471	-0.0170497555273014	0.0487517629179277	-0.00664547109241397
"MEroyalblue"	-0.0225619636988155	-0.0322789772784993	-0.0275383990023531	-0.0215714711028731	0.0128446099440177	0.00471380595522658	0.0200189193920586	-0.0215347382506948	-0.00348024815100444	0.025123284322507	-0.0188566113290962
"MEdarkturquoise"	-0.00299623288477206	-0.0191397936941536	-0.00745504799108592	-0.00871723836810368	-0.00644955603101578	0.00947571929050112	0.0255064466320174	-0.00729271859954599	-0.00795948743808724	2.89718281514698e-05	-0.00862728665817109
"MEpink"	-0.0127243305461595	-0.0225920643574016	-0.0144155258134974	-0.00924928668660003	1.25271276885616e-05	0.0150840319316384	0.0574662771507064	-0.00902221627104686	0.000679485128092376	-0.0019203412780885	-0.0102037411012151
"MEpurple"	-0.0112368265600694	-0.0174242699615487	-0.00666166889565159	-0.00231403186348403	-0.0127780044215236	-0.00881576585141061	0.0140538283356126	-0.00594365259592502	-0.00192577094693486	0.00763388778169481	-0.00833737653301669
"MEwhite"	-0.0167049996511484	-0.039004384398564	-0.00494839104242994	-0.012944361880556	-0.00708907766749787	0.00147366626598484	0.0237447819473124	-0.015673692558859	0.00372069519649961	0.00860320396892973	-0.0133386807562714
