"MEturquoise"	"MEgreen"	"MEmagenta"	"MEbrown"	"MEyellow"	"MEblack"	"MEgreenyellow"	"MEred"	"MEblue"	"MEpink"	"MEpurple"
"MElightgreen"	0.903613002934278	0.844128536208189	0.88104944697389	0.808126939302597	0.975217184413858	0.94792711354762	1.58078554380896e-43	0.908255433651674	0.947033658071965	0.6521523480598	0.992654611891452
"MEblue"	0.845798680740826	0.694706857149737	0.806440060660002	0.806669748559243	0.826702390487365	0.375027463860104	0.163005168253599	0.899604873391816	0.94502533987134	0.671494834196063	0.912256138970878
"MEturquoise"	0.620672114682802	0.216816513941862	0.814112787143861	0.629099976642838	0.49313503980015	0.372321318979373	0.67418930907223	0.797318409938017	0.530068806328239	0.418042152203425	0.92719969238081
"MEdarkolivegreen"	0.599487712806317	0.0625210396282659	0.530249232673981	0.642542024698518	0.287479504518237	0.211071739421792	0.179306558870526	0.953545449761868	0.0926702647485345	0.19297213671656	0.828451886416615
"MEbrown"	0.715094598274579	0.400273757562228	0.633388913032521	0.698106153088682	0.616570650402162	0.796652978080371	0.00109421789446275	0.673483892620539	0.91134859788385	0.00279504344303071	0.981894737581587
"MEgreen"	0.797642518263557	0.694361360169768	0.715132462640563	0.731303071229654	0.718128395350138	0.988416236213164	0.310035170185003	0.872065708802978	0.9687957056669	0.0784688857983739	0.934244061919725
"MEsteelblue"	0.919531846715975	0.888044582310514	0.868048679837857	0.858196952502021	0.999887512468229	5.76662289656896e-76	0.272167429776207	0.90372209637105	0.907070604253137	0.910099845775194	0.9405959414717
"MEtan"	0.866826134996619	0.867051514200886	0.699518600153182	0.757497413636835	0.812396896759467	0.0931889829285033	0.0923865770199108	0.797067990659998	0.965151834454553	0.443547777853659	0.777379534945394
"MEdarkred"	0.764599002997749	0.797452138202771	0.679723910456726	0.857274193578114	0.850976986053551	0.140866660195316	0.00044417333589709	0.733769584385986	0.852453044872288	0.0529224738929795	0.853490855504376
"MEorange"	0.806350655308805	0.631336068124225	0.771779536516654	0.872275593506185	0.989989764512525	1.11457828257598e-06	0.0122988227796317	0.815573750113227	0.866218132953957	0.239515895341177	0.804908939186804
"MEsienna3"	0.891520991831736	0.937786025926897	0.799106582147071	0.896509174610369	0.906817165473328	0.0405733220076756	0.161067717704631	0.958132423935765	0.936166399323375	0.896138483796077	0.944611502310547
"MEdarkgrey"	0.894691046722299	0.960727596950927	0.99716326438685	0.957837308392989	0.967193178068613	0.591341276866471	0.91632783769463	0.942427450150823	0.878648856066275	0.982701027296862	0.929112803549667
"MEyellowgreen"	0.69704387983172	0.841379601526739	0.875093645358412	0.8065493399804	0.767785895546672	0.577175580800221	0.336104512909626	0.00972443747785306	0.723501824934651	0.311476893763394	0.890331237693614
"MEroyalblue"	0.639651206430037	0.502911991021165	0.567668288570099	0.654421851814928	0.789840763177913	0.922087176219697	0.677846033032104	0.654972275294368	0.942434667209498	0.60212103555776	0.695589386258643
"MEdarkturquoise"	0.950429459329036	0.691250648703426	0.877071059437621	0.856467211003523	0.893544902920993	0.844131660754416	0.596592740928581	0.879727244446484	0.868825880661076	0.999520374063426	0.85793252191395
"MEpink"	0.791763372256771	0.63920451567348	0.764851466766621	0.847810402203478	0.999792614549142	0.754289126874047	0.232741940127756	0.851502826791565	0.98875155717824	0.968217306185379	0.832327166426794
"MEpurple"	0.815641305657951	0.717684648648857	0.89006561890682	0.961706076090915	0.790905264131684	0.85486276675442	0.770584620156882	0.901851351663585	0.968127489789697	0.874146313206936	0.862658445706875
"MEwhite"	0.728870890689458	0.418175502096538	0.918223039197122	0.788247241799943	0.883061312105819	0.975607377394416	0.622197647380042	0.745010332006912	0.938465145729073	0.858324911278357	0.781956761391266
